FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,SOURCE_LAT_DMS,SOURCE_LONG_DMS,SOURCE_LAT_DEC,SOURCE_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREATED,DATE_EDITED
1524992,Reliance,Populated Place,WA,53,Pierce,53,464621N,1221557W,46.7726059,-122.2659448,,,,,374,1227,Eatonville,9/10/79,
1524999,Rendsland Creek,Stream,WA,53,Mason,45,472314N,1230641W,47.3873153,-123.1112659,472540N,1230202W,47.4277778,-123.0338889,3,10,Lilliwaup,9/10/79,
1525011,Retreat Lake,Lake,WA,53,King,33,472108N,1215631W,47.3520957,-121.9418322,,,,,224,735,Cumberland,9/10/79,5/15/19
1525013,Rex Lake,Lake,WA,53,Mason,45,471538N,1230412W,47.2604986,-123.0699342,,,,,67,220,Union,9/10/79,5/17/19
1525014,Rex River,Stream,WA,53,King,33,472243N,1214148W,47.3787161,-121.6967714,471807N,1213609W,47.3020525,-121.6025993,477,1565,Chester Morse Lake,9/10/79,
1525020,Rhode Creek,Stream,WA,53,Whatcom,73,484122N,1210542W,48.689573,-121.0951198,483952N,1210544W,48.6644444,-121.0955556,370,1214,Ross Dam,9/10/79,
1525021,Rhodes Creek,Stream,WA,53,Jefferson,31,473741N,1233500W,47.6281435,-123.583233,473708N,1233450W,47.6189769,-123.5804548,357,1171,Mount Christie,9/10/79,
1525024,Rica Canyon,Valley,WA,53,Clallam,9,475821N,1233531W,47.9725134,-123.5918762,475726N,1233429W,47.9572353,-123.5746248,167,548,Hurricane Hill,9/10/79,8/11/17
1525026,Rice Lake,Lake,WA,53,Jefferson,31,475049N,1225234W,47.8469509,-122.8760092,,,,,48,157,Mount Walker,9/10/79,5/17/19
1525027,Richardson Creek,Stream,WA,53,Snohomish,61,475156N,1215641W,47.8656552,-121.9448463,475449N,1215750W,47.9137105,-121.9640146,23,75,Monroe,9/10/79,
1525031,Rick Creek,Stream,WA,53,Skagit,57,482140N,1215432W,48.3612186,-121.9087508,482037N,1215106W,48.343719,-121.8518042,381,1250,Oso,9/10/79,
