,id,metadata,formerIds,instanceId,permanentLocationId,callNumberTypeId,callNumber,holdingsTypeId,hrid,holdingsStatementsForIndexes,holdingsStatements,holdingsStatementsForSupplements,notes,electronicAccess
26,a37f7ece-6437-5527-9674-4be7aa111677,"{'createdDate': '2022-03-21T22:27:48.104', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:48.104', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",['a4332640'],50b0e880-46fb-5c59-9d29-ea18611cfc8c,e5c833cb-6bfb-42cb-9716-f30b528f2597,28927d76-e097-4f63-8510-e56f2b7a3ad0,M1090 SERIES 17 BOX 236,03c9c400-b9e3-4a07-ac0e-05ab470233ed,hld00000501626,,,,,
27,a37f7ece-6437-5527-9674-4be7aa111677,"{'createdDate': '2022-03-21T22:27:48.104', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:48.104', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",['a4332640'],50b0e880-46fb-5c59-9d29-ea18611cfc8c,e5c833cb-6bfb-42cb-9716-f30b528f2597,28927d76-e097-4f63-8510-e56f2b7a3ad0,M1090 SERIES 17 BOX 237,03c9c400-b9e3-4a07-ac0e-05ab470233ed,hld00000501627,,,,,
28,a37f7ece-6437-5527-9674-4be7aa111677,"{'createdDate': '2022-03-21T22:27:48.105', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:48.105', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",['a4332640'],50b0e880-46fb-5c59-9d29-ea18611cfc8c,e5c833cb-6bfb-42cb-9716-f30b528f2597,28927d76-e097-4f63-8510-e56f2b7a3ad0,M1090 SERIES 17 BOX 238,03c9c400-b9e3-4a07-ac0e-05ab470233ed,hld00000501628,,,,,
29,a37f7ece-6437-5527-9674-4be7aa111677,"{'createdDate': '2022-03-21T22:27:48.105', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:48.105', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",['a4332640'],50b0e880-46fb-5c59-9d29-ea18611cfc8c,e5c833cb-6bfb-42cb-9716-f30b528f2597,28927d76-e097-4f63-8510-e56f2b7a3ad0,M1090 SERIES 17 BOX 239,03c9c400-b9e3-4a07-ac0e-05ab470233ed,hld00000501629,,,,,
30,a37f7ece-6437-5527-9674-4be7aa111677,"{'createdDate': '2022-03-21T22:27:48.105', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:48.105', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",['a4332640'],50b0e880-46fb-5c59-9d29-ea18611cfc8c,e5c833cb-6bfb-42cb-9716-f30b528f2597,28927d76-e097-4f63-8510-e56f2b7a3ad0,M1090 SERIES 17 BOX 240,03c9c400-b9e3-4a07-ac0e-05ab470233ed,hld00000501630,,,,,
31,a37f7ece-6437-5527-9674-4be7aa111677,"{'createdDate': '2022-03-21T22:27:48.105', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:48.105', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",['a4332640'],50b0e880-46fb-5c59-9d29-ea18611cfc8c,e5c833cb-6bfb-42cb-9716-f30b528f2597,28927d76-e097-4f63-8510-e56f2b7a3ad0,M1090 SERIES 17 BOX 241,03c9c400-b9e3-4a07-ac0e-05ab470233ed,hld00000501631,,,,,
32,a37f7ece-6437-5527-9674-4be7aa111677,"{'createdDate': '2022-03-21T22:27:48.107', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:48.107', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",['a4332640'],50b0e880-46fb-5c59-9d29-ea18611cfc8c,e5c833cb-6bfb-42cb-9716-f30b528f2597,28927d76-e097-4f63-8510-e56f2b7a3ad0,M1090 SERIES 19 MODEL 1,03c9c400-b9e3-4a07-ac0e-05ab470233ed,hld00000501632,,,,,
33,a37f7ece-6437-5527-9674-4be7aa111677,"{'createdDate': '2022-03-21T22:27:48.107', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:48.107', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",['a4332640'],50b0e880-46fb-5c59-9d29-ea18611cfc8c,e5c833cb-6bfb-42cb-9716-f30b528f2597,28927d76-e097-4f63-8510-e56f2b7a3ad0,M1090 SERIES 19 MODEL 7,03c9c400-b9e3-4a07-ac0e-05ab470233ed,hld00000501633,,,,,
34,a37f7ece-6437-5527-9674-4be7aa111677,"{'createdDate': '2022-03-21T22:27:48.107', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:48.107', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",['a4332640'],50b0e880-46fb-5c59-9d29-ea18611cfc8c,e5c833cb-6bfb-42cb-9716-f30b528f2597,28927d76-e097-4f63-8510-e56f2b7a3ad0,M1090 SERIES 19 MODEL 12,03c9c400-b9e3-4a07-ac0e-05ab470233ed,hld00000501634,,,,,
35,a37f7ece-6437-5527-9674-4be7aa111677,"{'createdDate': '2022-03-21T22:27:48.107', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:48.107', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",['a4332640'],50b0e880-46fb-5c59-9d29-ea18611cfc8c,e5c833cb-6bfb-42cb-9716-f30b528f2597,28927d76-e097-4f63-8510-e56f2b7a3ad0,M1090 SERIES 19 MODEL 23,03c9c400-b9e3-4a07-ac0e-05ab470233ed,hld00000501635,,,,,
